 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    0     0.0000000000      0.000000000000     -109.506177757989 (   1 * )
    1    14.2870674366     14.287067436576      -95.219110321412 (   1 * )
    2    14.2870902909     14.287090290867      -95.219087467121 (   1 * )
    3    14.2873870516     14.287387051622      -95.218790706367 (   2 * )
    4    14.2877107670     14.287710767041      -95.218466990947 (   2 * )
    5    14.2889390867     14.288939086714      -95.217238671275 (   1 * )
    6    14.2889619501     14.288961950065      -95.217215807924 (   1 * )
    7    14.2892586419     14.289258641924      -95.216919116065 (   2 * )
    8    14.2895824310     14.289582431019      -95.216595326970 (   2 * )
    9    14.3291623896     14.329162389555      -95.177015368434 (   2 * )
   10    14.3298959259     14.329895925905      -95.176281832084 (   2 * )
   11    14.6936210547     14.693621054697      -94.812556703291 (   1 * )
   12    14.6936211889     14.693621188921      -94.812556569068 (   2 * )
   13    14.6951858891     14.695185889130      -94.810991868859 (   1 * )
   14    14.6951860166     14.695186016639      -94.810991741349 (   2 * )
   15    14.7188060692     14.718806069152      -94.787371688837 (   1 * )
   16    14.7206146122     14.720614612164      -94.785563145825 (   1 * )
