 Level  eigenvalue (eV)  Eigenvalue (cm-1)   0g+| 0g-| 1g | 2g | 0u+| 0u-| 1u | 2u |

    0        0.000000000          0.000000     1|   0|   0|   0|   0|   0|   0|   0|
    1      388.770870219    3135648.857724     0|   0|   0|   0|   1|   0|   0|   0|
    2      388.771492115    3135653.873661     0|   0|   0|   0|   0|   1|   0|   0|
    3      388.779567386    3135719.005118     0|   0|   0|   0|   0|   0|   2|   0|
    4      388.788376130    3135790.052441     0|   0|   0|   0|   0|   0|   0|   2|
    5      388.821800408    3136059.637448     1|   0|   0|   0|   0|   0|   0|   0|
    6      388.822422551    3136064.655374     0|   1|   0|   0|   0|   0|   0|   0|
    7      388.830495947    3136129.771710     0|   0|   2|   0|   0|   0|   0|   0|
    8      388.839306697    3136200.835202     0|   0|   0|   2|   0|   0|   0|   0|
    9      389.916332125    3144887.632008     0|   0|   0|   0|   0|   0|   2|   0|
   10      389.936292664    3145048.624628     0|   0|   2|   0|   0|   0|   0|   0|
   11      399.833756609    3224877.063157     0|   1|   0|   0|   0|   0|   0|   0|
   12      399.833760262    3224877.092616     0|   0|   2|   0|   0|   0|   0|   0|
   13      399.876337919    3225220.504617     0|   0|   0|   0|   0|   1|   0|   0|
   14      399.876341389    3225220.532602     0|   0|   0|   0|   0|   0|   2|   0|
   15      400.519075694    3230404.534918     1|   0|   0|   0|   0|   0|   0|   0|
   16      400.568288652    3230801.464229     0|   0|   0|   0|   1|   0|   0|   0|
