 Level   Rel eigenvalue     Abs eigenvalue      Total Energy    Degeneracy

    0     0.0000000000      0.000000000000     -109.506175626874 (   1 * )
    1    14.2873900530     14.287390053039      -95.218785573835 (   2 * )
    2    14.2873901429     14.287390142869      -95.218785484005 (   2 * )
    3    14.2874014745     14.287401474486      -95.218774152388 (   2 * )
    4    14.2892617095     14.289261709468      -95.216913917405 (   2 * )
    5    14.2892617988     14.289261798798      -95.216913828075 (   2 * )
    6    14.2892731363     14.289273136296      -95.216902490578 (   2 * )
    7    14.3291612539     14.329161253885      -95.177014372989 (   2 * )
    8    14.3298947237     14.329894723671      -95.176280903203 (   2 * )
    9    14.6936222414     14.693622241426      -94.812553385448 (   1 * )
   10    14.6936223755     14.693622375464      -94.812553251410 (   2 * )
   11    14.6951870758     14.695187075770      -94.810988551103 (   1 * )
   12    14.6951872031     14.695187203115      -94.810988423758 (   2 * )
   13    14.7188072608     14.718807260844      -94.787368366029 (   1 * )
   14    14.7206158042     14.720615804223      -94.785559822650 (   1 * )
