 Level  eigenvalue (eV)  Eigenvalue (cm-1)  1Ag |1B3u|1B2u|1B1g|1B1u|1B2g|1B3g|1Au |

    0        0.000000000          0.000000     1|   0|   0|   0|   0|   0|   0|   0|
    1      388.779649059    3135719.663853     0|   0|   0|   0|   0|   0|   0|   0|
    2      388.779651503    3135719.683569     0|   0|   0|   0|   0|   0|   0|   0|
    3      388.779959852    3135722.170571     0|   0|   0|   0|   0|   0|   0|   0|
    4      388.830579420    3136130.444958     0|   0|   0|   0|   0|   0|   0|   0|
    5      388.830581850    3136130.464564     0|   0|   0|   0|   0|   0|   0|   0|
    6      388.830890359    3136132.952857     0|   0|   0|   0|   0|   0|   0|   0|
    7      389.916301222    3144887.382757     0|   1|   1|   0|   0|   0|   0|   0|
    8      389.936259949    3145048.360768     0|   0|   0|   0|   0|   1|   1|   0|
    9      399.833788902    3224877.323614     0|   0|   0|   0|   0|   0|   0|   0|
   10      399.833792549    3224877.353032     0|   0|   0|   0|   0|   0|   0|   0|
   11      399.876370209    3225220.765055     0|   0|   0|   0|   0|   0|   0|   0|
   12      399.876373674    3225220.793004     0|   0|   0|   0|   0|   0|   0|   0|
   13      400.519108122    3230404.796465     1|   0|   0|   0|   0|   0|   0|   0|
   14      400.568321089    3230801.725856     0|   0|   0|   0|   1|   0|   0|   0|


 Relative real eigenvalues in other units;
 Symmetry Classification in the Abelian subgroup

 Level  eigenvalue (eV)  Eigenvalue (cm-1)  3Ag |3B3u|3B2u|3B1g|3B1u|3B2g|3B3g|3Au |

    0        0.000000000          0.000000     0|   0|   0|   0|   0|   0|   0|   0|
    1      388.779649059    3135719.663853     0|   1|   1|   0|   0|   0|   0|   0|
    2      388.779651503    3135719.683569     0|   1|   1|   0|   0|   0|   0|   0|
    3      388.779959852    3135722.170571     0|   1|   1|   0|   0|   0|   0|   0|
    4      388.830579420    3136130.444958     0|   0|   0|   0|   0|   1|   1|   0|
    5      388.830581850    3136130.464564     0|   0|   0|   0|   0|   1|   1|   0|
    6      388.830890359    3136132.952857     0|   0|   0|   0|   0|   1|   1|   0|
    7      389.916301222    3144887.382757     0|   0|   0|   0|   0|   0|   0|   0|
    8      389.936259949    3145048.360768     0|   0|   0|   0|   0|   0|   0|   0|
    9      399.833788902    3224877.323614     1|   0|   0|   0|   0|   0|   0|   0|
   10      399.833792549    3224877.353032     2|   0|   0|   0|   0|   0|   0|   0|
   11      399.876370209    3225220.765055     0|   0|   0|   0|   1|   0|   0|   0|
   12      399.876373674    3225220.793004     0|   0|   0|   0|   2|   0|   0|   0|
   13      400.519108122    3230404.796465     0|   0|   0|   0|   0|   0|   0|   0|
   14      400.568321089    3230801.725856     0|   0|   0|   0|   0|   0|   0|   0|
